Ingressos e Tickets,,,,,,,,,
Broadway,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
Aladdin,,90,https://www.broadway-show-tickets.com/pt/musical/aladdin-ingressos/,,O musical Aladdin da Broadway leva você a uma viagem encantada no tapete mágico com figurinos e cenários elaborados e belos. Você assistirá a um espetáculo encantador.,Duração: 2h30 com intervalo. Adequado para maiores de 6 anos.,,,6604775896
Rei Leão,,133,https://www.broadway-show-tickets.com/pt/musical/o-rei-leao-ingressos/,,"Baseado no popularíssimo filme homônimo da Disney de 1994, o musical foi dirigido para o palco por Julie Taymor, ganhadora do prêmio Tony, e já chegou aos cinemas em mais de 100 cidades de 21 países em mais de 9 idiomas. Uma delícia para crianças e adultos, esse conto comovente sobre família, destino, aventura, perseverança e amor foi traduzido para o palco por meio de cenários espetaculares, coreografia inspiradora, música comovente e uma bela narrativa.",Duração: 2h30 com intervalo. Adequado para maiores de 6 anos.,,,6604776330
MJ,,104,https://www.broadway-show-tickets.com/pt/musical/mj-the-musical-ingressos/,,"Conheça os bastidores e confira a Dangerous World Tour de 1992 de Michael Jackson e saiba tudo sobre o processo criativo envolvido. Testemunhe a magia do Rei do Pop neste musical de jukebox, MJ, que foi duas vezes vencedor do Prêmio Pulitzer. Curta as músicas icônicas de MJ, como ""Billie Jean"", ""Thriller"" e ""Beat It"", entre outras incríveis.",Duração: 2h30 com intervalo. Adequado para maiores de 8 anos.,,,6604777005
Harry Potter e a criança amaldiçoada,,"83,5",https://www.broadway-show-tickets.com/pt/plays/harry-potter-and-the-cursed-child-tickets/,,"Dirigida por John Tiffany, essa aclamada peça apresenta magia, viagem no tempo e batalhas épicas que transportam você para o mundo de Harry Potter. A oitava história de Harry Potter explora o aprofundamento da amizade entre Albus Potter e Scorpius Malfoy, filho de Draco Malfoy, antigo rival de Harry. Uma das peças mais reverenciadas da Broadway, Harry Potter e a Criança Amaldiçoada foi aclamada pela Forbes como um evento que definiu a cultura pop e está de volta com toda a sua magia e batalhas épicas!",Duração: 3h30 com intervalo. Adequado para maiores de 8 anos.,,,6604777544
Six: The Musical,,"86,5",https://www.broadway-show-tickets.com/pt/musical/six-the-musical-ingressos/,,"Vencedor de 23 prêmios, incluindo o Tony Award de 2022 de Melhor Trilha Sonora Original. De rainhas Tudor majestosas, porém trágicas, a poderosas princesas do pop, as esposas de Henrique VIII se transformaram em uma girl band do século XXI que se apresenta em um show em SIX: The Musical na Broadway. Vivencie a história britânica nesse musical exuberante por meio do desempenho dinâmico do talentoso elenco que redefinirá sua perspectiva.",Duração: 80 minutos sem intervalo. Adequado para maiores de 10 anos.,,,6604779812
Moulin Rouge,,"73,5",https://www.broadway-show-tickets.com/pt/musical/moulin-rouge-the-musical-ingressos/,,"Dirigido pelo vencedor do prêmio Tony Alex Timbers, com arranjos musicais do vencedor do prêmio Tony Justin Levine e coreografia da vencedora do prêmio Tony Sonya Tayeh. Adorado pelo público e pela crítica, esse grande sucesso é vencedor de 10 prêmios Tony e um dos musicais mais antigos em cartaz na Broadway.",Duração: 2h45 com intervalo. Adequado para maiores de 12 anos.,,,6604780545
Chicago,,84,https://www.broadway-show-tickets.com/pt/musical/chicago-ingressos/,,"Musical vencedor do Grammy, com impressionantes 6 prêmios Tony e 2 prêmios Olivier.",Duração: 2 horas e 30 minutos com intervalo de 15 minutos. Adequado para maiores de 12 anos.,,,6604784542
Wicked,,124,https://www.broadway-show-tickets.com/pt/musical/wicked-ingressos/,,"Aclamado pela crítica e um sucesso estrondoso desde sua estreia em 2003, Wicked leva você a uma jornada que acompanha dois rivais que se tornaram amigos e os altos e baixos de suas vidas. Conhecido por seu enredo criativo, músicas hipnotizantes e visuais encantadores, Wicked é mágico em todos os sentidos da palavra.",Duração: 2h45 com intervalo. Adequado para maiores de 8 anos.,,,6604785233
Hamilton,,124,https://www.broadway-show-tickets.com/pt/musical/hamilton-ingressos/,,"História do Pai Fundador dos Estados Unidos, inspirada na biografia de Alexander Hamilton escrita por Ron Chernow. Assista a Lin-Manuel Miranda, vencedor dos prêmios Tony, Grammy e Emmy, fazer mágica no palco como nunca antes. Thomas Kail, indicado ao prêmio Tony, dá vida ao musical com sua direção ardente, que fala sobre a importância de falar o que pensa e conquistar o mundo.","Demanda incrivelmente alta, deve ser comprado com antecedência. Duração: 2h30 com intervalo. Adequado para maiores de 10 anos.",,,6604785705
"De volta para o futuro, o musical",,"72,1",https://www.broadway-show-tickets.com/pt/musical/de-volta-para-o-futuro-o-musical-ingressos/,,"Baseado no filme da Universal Pictures/Amblin Entertainment, De Volta para o Futuro, o musical com certeza manterá você grudado em seus assentos enquanto o leva a uma aventura pelo passado, presente e futuro. Com músicas de sucesso como 'The Power of Love', 'Back in Time' e 'Johnny B. Goode', essa adaptação para o palco fará você dançar durante todo o show.",Duração: 2h35 com intervalo. Adequado para maiores de 6 anos.,,,6720697819
Rockettes,,,,,,,,,7925516217
Romeo + Juliet,,,,,,,,,8326736812
Hell's Kitchen,,,,,,,,,8326742343
top of the rock,,,,,,,,,9276309276
,,,,,,,,,
,,,,,,,,,
Museus,,,,,,,,,
Name,Subitems,Preço Médio,Site Oficial,Horário de Funcionamento,Descrição,Observações,Parceria Direta,Variações de ingresso,Item ID (auto generated)
História Natural,General Admission,28,https://tickets.amnh.org/select,Todos os dias: 10:00 - 17:30,"O Museu Americano de História Natural é um dos maiores do mundo e mais de cinco milhões de aficionados por história visitam o local todos os anos. Talvez você até reconheça o museu como a estrela do filme de Robin Williams, Uma Noite no Museu.  As exposições impressionantes incluem um modelo gigante de baleia de 94 metros, a safira Star of India de 563 quilates e uma árvore gigante de sequoia que tem quase 2.000 anos. Você também encontrará uma das maiores coleções de fósseis e ossos de dinossauros do mundo.",Museu Americano de História Natural (212) 769-5100,,,6604871174
Subitems,Name,Preço Médio,Descrição,Observação,Item ID (auto generated),,,,
,General Admission,,,,6715041364,,,,
MET,,0,,,,,,,6604872135
MoMa,,30,https://visit.moma.org/select,"Aberto até às 17h30 diariamente, às 19h00 aos sábados e às 20h00 na primeira sexta-feira de cada mês.","O Museu de Arte Moderna — ou 'MoMA' como é conhecido pelos locais — é o museu de arte moderna mais influente do mundo. Abriga uma das melhores coleções de obras-primas contemporâneas e é um lugar inspirador para passar uma tarde ou um dia inteiro.  Apenas ao ver o lindo edifício, a visita já vale a pena - ele é cheio de luz e tem arquitetura de ponta. Use seu passe para entrar e conheça obras de arte abstratas e modernas, como The Starry Night de Vincent van Gogh, Water Lilies de Claude Monet e Campbell's Soup Cans de Andy Warhol. E, quando se trata de clássicos, veja as peças de Paul Gauguin, Georges Seurat, Paul Cézanne e muitos outros.  E, quando se trata de clássicos, você pode ver peças de Frida Kahlo, Jacob Lawrence, Edward Hopper, Jackson Pollock e muitos outros.",,,,6604873884
Madame Tussauds,,"47,89",,"De domingo à quinta, de 10am às 8pm. Às sextas e sábados, de 10am às 10pm. e","Passeie pelas divertidas áreas temáticas e interaja com as estátuas de cera do museu. Você pode subir em uma bicicleta voadora com o E.T., bater um papo com Jimmy Fallon no Late Night Show ou competir para ganhar os Jogos Vorazes com Katniss Everdeen. Você pode até participar de uma festa exclusiva com nomes como Jennifer Aniston, Anne Hathaway e Morgan Freeman, além de apertar a mão de líderes mundiais, incluindo Donald Trump e Abraham Lincoln. A mais recente adição do museu é a estátua da cantora brasileira Anitta.","Esse valor inclui o MARVEL Universe 4D Movie., no GoCity.",,,6604880784
