payment_id,sales_id,amount,currency_id,exchange_rate_to_usd,amount_in_brl,amount_in_usd,created_at
30,33,400.00,2,0.1696,400.00,67.83,2025-08-06 18:13:41.574724+00
31,33,300.00,1,5.0000,1500.00,300.00,2025-08-13 19:27:59.151764+00
32,33,54.17,1,5.6681,307.04,54.17,2025-08-13 19:29:47.029629+00
33,34,50.00,1,null,283.41,50.00,2025-08-14 00:44:56.180111+00
34,34,1500.00,2,0.2000,1500.00,300.00,2025-08-15 16:54:09.89184+00
35,34,736.85,2,0.1764,736.85,130.00,2025-08-15 17:31:24.177559+00
36,35,3000.00,2,0.1773,3000.00,531.81,2025-08-15 18:23:32.556626+00
37,35,200.00,1,5.0000,1000.00,200.00,2025-08-15 22:25:05.137688+00
38,36,3000.00,2,0.1767,3000.00,530.04,2025-08-16 01:02:11.729359+00
39,36,200.00,1,0.1773,35.46,200.00,2025-08-16 01:02:11.79327+00
