product_id,name,price_per_unit,tax_percentage,limited,active_for_sale,category_id,image_url
1,The Outsiders - Musical Tony Awards 2024,350.00,8.88,true,true,1,https://sup.axioscode.com/storage/v1/object/sign/medias/broadway/112261-7.jpg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJtZWRpYXMvYnJvYWR3YXkvMTEyMjYxLTcuanBnIiwiaWF0IjoxNzUxMDQ2NDAyLCJleHAiOjE3ODI1ODI0MDJ9.mAIQ2NREWe5JMIhb4Xc40XNAFhAQCu5m7bA81T_A_4Q
2,Hells Kitchen - Musical Alicia Keys,320.00,8.88,true,true,1,
3,The Great Gatsby - Musical Broadway,340.00,8.88,true,true,1,
4,Cabaret at the Kit Kat Club,330.00,8.88,true,true,1,
5,Gypsy - Musical Broadway,310.00,8.88,true,true,1,
6,Death Becomes Her - Musical,300.00,8.88,true,true,1,
7,"Oh, Mary! - Comédia Broadway",280.00,8.88,true,true,1,
8,Maybe Happy Ending - Musical Romântico,270.00,8.88,true,true,1,
9,New York Yankees - Ingresso MLB,120.00,8.88,true,true,2,
10,New York Knicks - Ingresso NBA,150.00,8.88,true,true,2,
11,Brooklyn Nets - Ingresso NBA,130.00,8.88,true,true,2,
12,New York Rangers - Ingresso NHL,140.00,8.88,true,true,2,
13,New York Mets - Ingresso MLB,110.00,8.88,true,true,2,
14,New York Giants - Ingresso NFL,180.00,8.88,true,true,2,
15,Metropolitan Museum of Art - Ingresso,30.00,8.88,false,true,3,
16,Museum of Modern Art (MoMA) - Ingresso,25.00,8.88,false,true,3,
17,American Museum of Natural History - Ingresso,28.00,8.88,false,true,3,
18,Guggenheim Museum - Ingresso,25.00,8.88,false,true,3,
19,Whitney Museum of American Art - Ingresso,22.00,8.88,false,true,3,
20,Brooklyn Museum - Ingresso,20.00,8.88,false,true,3,
21,Empire State Building - Observatório,45.00,8.88,false,true,4,
22,Top of the Rock - Observatório,40.00,8.88,false,true,4,
23,One World Observatory - Vista 360°,50.00,8.88,false,true,4,
24,Estátua da Liberdade - Tour Completo,35.00,8.88,false,true,4,
25,Times Square - Tour Guiado,25.00,8.88,false,true,4,
26,Central Park - Tour Guiado,30.00,8.88,false,true,4,
27,Coney Island - Parque de Diversões,60.00,8.88,false,true,5,
28,Bronx Zoo - Ingresso,35.00,8.88,false,true,5,
29,New York Aquarium - Ingresso,30.00,8.88,false,true,5,
30,Brooklyn Bridge Park - Tour,15.00,8.88,false,true,5,
31,The Outsiders - Musical Tony Awards 2024,350.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/the_outsiders.jpg
32,Hell's Kitchen - Musical Alicia Keys,320.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/hells_kitchen.jpg
33,The Great Gatsby - Musical Broadway,340.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/great_gatsby.jpg
34,Cabaret at the Kit Kat Club,330.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/cabaret.jpg
35,Gypsy - Musical Broadway,310.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/gypsy.jpg
36,Death Becomes Her - Musical,300.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/death_becomes_her.jpg
37,"Oh, Mary! - Comédia Broadway",280.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/oh_mary.jpg
38,Maybe Happy Ending - Musical Romântico,270.00,8.88,true,true,1,https://<project>.supabase.co/storage/v1/object/public/broadway/maybe_happy_ending.jpg
