id,name,created_at,updated_at,is_active
1,Agência,2025-06-12 12:05:13.904666+00,2025-06-12 12:05:13.904666+00,true
2,Antigo,2025-06-12 12:05:31.310613+00,2025-06-12 12:05:31.310613+00,true
3,Dani,2025-06-12 12:05:40.477689+00,2025-06-12 12:05:40.477689+00,true
4,DDMO,2025-06-12 12:05:49.54682+00,2025-06-12 12:05:49.54682+00,true
5,Email,2025-06-12 12:06:00.373153+00,2025-06-12 12:06:00.373153+00,true
6,Facebook,2025-06-12 12:06:18.563117+00,2025-07-18 16:21:21.372665+00,true
7,Google,2025-06-12 12:06:28.539676+00,2025-06-12 12:06:28.539676+00,true
8,Indicação,2025-06-12 12:06:42.35228+00,2025-06-12 12:06:42.35228+00,true
9,Instagram,2025-06-12 12:07:07.201986+00,2025-06-12 12:07:07.201986+00,true
10,Leco,2025-06-12 12:07:23.164154+00,2025-06-12 12:07:23.164154+00,true
11,Parceiro,2025-06-12 12:07:32.589919+00,2025-06-12 12:07:32.589919+00,true
12,Site,2025-06-12 12:07:42.049896+00,2025-06-12 12:07:42.049896+00,true
13,Whatsapp,2025-06-12 12:07:53.720684+00,2025-06-12 12:07:53.720684+00,true
14,Definir,2025-06-13 20:58:38.136623+00,2025-06-13 20:58:38.136623+00,true
15,Não rastreada,2025-06-15 15:21:00.523807+00,2025-06-15 15:21:00.523807+00,true
16,Fez Contato,2025-06-17 14:52:55.501524+00,2025-06-17 14:52:55.501524+00,true
